"Regionale kerncijfers Nederland"
""
"";"";"Subject"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Verkeer en vervoer|Motorvoertuigen|Personenauto's, relatief";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land";"Lokalisering|Koppelvariabele regio (code)"
"Peel en Maas";"2020";"43425";"272";"556";"159,37";"GM1894"
"Peize";"2020";"";"";"";"";""
"Pekela";"2020";"12196";"249";"560";"49,04";"GM0765"
"Pijnacker";"2020";"";"";"";"";""
"Pijnacker-Nootdorp";"2020";"55308";"1491";"446";"37,08";"GM1926"
"Prinsenbeek";"2020";"";"";"";"";""
"Purmerend";"2020";"81249";"3509";"472";"23,15";"GM0439"
"Putte";"2020";"";"";"";"";""
"Putten";"2020";"24112";"283";"512";"85,22";"GM0273"
"Raalte";"2020";"37712";"221";"538";"170,99";"GM0177"
"Raamsdonk";"2020";"";"";"";"";""
"Ravenstein";"2020";"";"";"";"";""
"Reeuwijk";"2020";"";"";"";"";""
"Reiderland";"2020";"";"";"";"";""
"Reimerswaal";"2020";"22730";"223";"497";"101,80";"GM0703"
"Renkum";"2020";"31419";"684";"523";"45,95";"GM0274"
"Renswoude";"2020";"5444";"296";"534";"18,40";"GM0339"
"Reusel";"2020";"";"";"";"";""
"Reusel-De Mierden";"2020";"13112";"168";"563";"77,88";"GM1667"
"Rheden";"2020";"43761";"535";"497";"81,74";"GM0275"
"Rhenen";"2020";"20119";"478";"503";"42,08";"GM0340"
"Ridderkerk";"2020";"46189";"1948";"497";"23,72";"GM0597"
"Riethoven";"2020";"";"";"";"";""
"Rijnsburg";"2020";"";"";"";"";""
"Rijnwaarden";"2020";"";"";"";"";""
"Rijnwoude";"2020";"";"";"";"";""
"Rijsbergen";"2020";"";"";"";"";""
"Rijssen";"2020";"";"";"";"";""
"Rijssen-Holten";"2020";"38177";"406";"512";"94,13";"GM1742"
"Rijswijk (ZH.)";"2020";"54450";"3901";"550";"13,96";"GM0603"
"Roden";"2020";"";"";"";"";""
"Roerdalen";"2020";"20574";"233";"587";"88,21";"GM1669"
"Roermond";"2020";"58260";"958";"498";"60,81";"GM0957"
"Roggel en Neer";"2020";"";"";"";"";""
"Rolde";"2020";"";"";"";"";""
"De Ronde Venen";"2020";"44456";"445";"534";"99,92";"GM0736"
"Roosendaal";"2020";"77251";"725";"506";"106,50";"GM1674"
"Roosendaal en Nispen";"2020";"";"";"";"";""
"Rosmalen";"2020";"";"";"";"";""
"Rossum";"2020";"";"";"";"";""
"Rotterdam";"2020";"651157";"2993";"358";"217,55";"GM0599"
"Rozenburg";"2020";"";"";"";"";""
"Rozendaal";"2020";"1704";"61";"580";"27,90";"GM0277"
"Rucphen";"2020";"22878";"355";"579";"64,41";"GM0840"
"Ruinen";"2020";"";"";"";"";""
"Ruinerwold";"2020";"";"";"";"";""
"Ruurlo";"2020";"";"";"";"";""
"Sas van Gent";"2020";"";"";"";"";""
"Sassenheim";"2020";"";"";"";"";""
"Schagen";"2020";"46483";"276";"531";"168,25";"GM0441"
"Scheemda";"2020";"";"";"";"";""
"Schermer";"2020";"";"";"";"";""
"Scherpenzeel";"2020";"9880";"717";"506";"13,79";"GM0279"
"Schiedam";"2020";"78730";"4417";"386";"17,82";"GM0606"
"Schiermonnikoog";"2020";"947";"23";"375";"40,50";"GM0088"
"Schijndel";"2020";"";"";"";"";""
"Schinnen";"2020";"";"";"";"";""
"Schipluiden";"2020";"";"";"";"";""
"Schoonebeek";"2020";"";"";"";"";""
"Schoonhoven";"2020";"";"";"";"";""
"Schoorl";"2020";"";"";"";"";""
"Schouwen-Duiveland";"2020";"33839";"147";"559";"229,65";"GM1676"
"Sevenum";"2020";"";"";"";"";""
"Simpelveld";"2020";"10555";"658";"575";"16,03";"GM0965"
"Sint Anthonis";"2020";"11664";"117";"564";"99,27";"GM1702"
"Sint-Michielsgestel";"2020";"29208";"500";"543";"58,38";"GM0845"
"Sint-Oedenrode";"2020";"";"";"";"";""
"Sittard";"2020";"";"";"";"";""
"Sittard-Geleen";"2020";"92429";"1170";"560";"79,01";"GM1883"
"Skarsterlân";"2020";"";"";"";"";""
"Sleen";"2020";"";"";"";"";""
"Sliedrecht";"2020";"25220";"1965";"468";"12,84";"GM0610"
"Slochteren";"2020";"";"";"";"";""
"Sluis";"2020";"23210";"83";"578";"279,36";"GM1714"
"Sluis-Aardenburg";"2020";"";"";"";"";""
"Smallingerland";"2020";"56150";"479";"587";"117,31";"GM0090"
"Smilde";"2020";"";"";"";"";""
"Sneek";"2020";"";"";"";"";""
"Soest";"2020";"46606";"1008";"512";"46,24";"GM0342"
"Someren";"2020";"19368";"241";"547";"80,27";"GM0847"
"Son en Breugel";"2020";"17322";"667";"573";"25,95";"GM0848"
"Spijkenisse";"2020";"";"";"";"";""
"Sprang-Capelle";"2020";"";"";"";"";""
"St. Anthonis";"2020";"";"";"";"";""
"Stad Delden";"2020";"";"";"";"";""
"Stadskanaal";"2020";"31686";"269";"534";"117,64";"GM0037"
"Standdaarbuiten";"2020";"";"";"";"";""
"Staphorst";"2020";"17145";"128";"526";"133,99";"GM0180"
"Stede Broec";"2020";"21726";"1498";"452";"14,50";"GM0532"
"Steenbergen";"2020";"24416";"167";"543";"146,43";"GM0851"
"Steenderen";"2020";"";"";"";"";""
"Steenwijk";"2020";"";"";"";"";""
"Steenwijkerland";"2020";"44126";"153";"524";"288,27";"GM1708"
"Stein (L.)";"2020";"25007";"1186";"589";"21,08";"GM0971"
"Stichtse Vecht";"2020";"64931";"676";"498";"96,10";"GM1904"
"Stramproy";"2020";"";"";"";"";""
"Strijen";"2020";"";"";"";"";""
"Súdwest-Fryslân";"2020";"89987";"172";"492";"523,01";"GM1900"
"Susteren";"2020";"";"";"";"";""
"Swalmen";"2020";"";"";"";"";""
"Tegelen";"2020";"";"";"";"";""
"Terheijden";"2020";"";"";"";"";""
"Terneuzen";"2020";"54426";"217";"553";"250,38";"GM0715"
"Terschelling";"2020";"4888";"57";"483";"85,26";"GM0093"
"Teteringen";"2020";"";"";"";"";""
"Texel";"2020";"13575";"84";"523";"162,00";"GM0448"
"Teylingen";"2020";"37440";"1319";"508";"28,38";"GM1525"
"Tholen";"2020";"25757";"176";"523";"146,71";"GM0716"
"Thorn";"2020";"";"";"";"";""
"Tiel";"2020";"42159";"1282";"551";"32,88";"GM0281"
"Tilburg";"2020";"219789";"1892";"531";"116,17";"GM0855"
"Tubbergen";"2020";"21275";"145";"572";"147,00";"GM0183"
"Twenterand";"2020";"33743";"318";"527";"106,17";"GM1700"
"Tynaarlo";"2020";"33887";"237";"668";"143,00";"GM1730"
"Tytsjerksteradiel";"2020";"32052";"215";"534";"148,86";"GM0737"
"Ubbergen";"2020";"";"";"";"";""
"Uden";"2020";"42119";"629";"572";"67,00";"GM0856"
"Udenhout";"2020";"";"";"";"";""
"Uitgeest";"2020";"13666";"713";"483";"19,16";"GM0450"
"Uithoorn";"2020";"29478";"1625";"505";"18,14";"GM0451"
"Urk";"2020";"21031";"1599";"354";"13,15";"GM0184"
"Utrecht (gemeente)";"2020";"357597";"3811";"360";"93,83";"GM0344"
"Utrechtse Heuvelrug";"2020";"49580";"376";"512";"132,01";"GM1581"
"Vaals";"2020";"10105";"423";"476";"23,89";"GM0981"
"Valburg";"2020";"";"";"";"";""
"Valkenburg (ZH.)";"2020";"";"";"";"";""
"Valkenburg aan de Geul";"2020";"16367";"446";"553";"36,73";"GM0994"
"Valkenisse";"2020";"";"";"";"";""
"Valkenswaard";"2020";"31193";"568";"546";"54,92";"GM0858"
"Veendam";"2020";"27384";"360";"530";"76,00";"GM0047"
"Veenendaal";"2020";"66493";"3417";"484";"19,46";"GM0345"
"Veere";"2020";"21880";"165";"551";"132,56";"GM0717"
"Veghel";"2020";"";"";"";"";""
"Veldhoven";"2020";"45466";"1435";"515";"31,69";"GM0861"
"Velsen";"2020";"68648";"1519";"473";"45,20";"GM0453"
"Venhuizen";"2020";"";"";"";"";""
"Venlo";"2020";"101802";"819";"479";"124,25";"GM0983"
"Venray";"2020";"43614";"267";"530";"163,27";"GM0984"
"Vessem, Wintelre en Knegsel";"2020";"";"";"";"";""
"Vianen";"2020";"";"";"";"";""
"Vierlingsbeek";"2020";"";"";"";"";""
"Vijfheerenlanden";"2020";"56811";"388";"611";"146,41";"GM1961"
"Vlaardingen";"2020";"73397";"3114";"425";"23,57";"GM0622"
"Vlagtwedde";"2020";"";"";"";"";""
"Vledder";"2020";"";"";"";"";""
"Vleuten-De Meern";"2020";"";"";"";"";""
"Vlieland";"2020";"1155";"30";"366";"39,15";"GM0096"
"Vlijmen";"2020";"";"";"";"";""
"Vlissingen";"2020";"44360";"1293";"465";"34,31";"GM0718"
"Vlist";"2020";"";"";"";"";""
"Voerendaal";"2020";"12475";"396";"579";"31,51";"GM0986"
"Voorburg";"2020";"";"";"";"";""
"Voorhout";"2020";"";"";"";"";""
"Voorschoten";"2020";"25596";"2297";"453";"11,14";"GM0626"
"Voorst";"2020";"24552";"200";"532";"122,97";"GM0285"
"Vorden";"2020";"";"";"";"";""
"Vries";"2020";"";"";"";"";""
"Vriezenveen";"2020";"";"";"";"";""
"Vught";"2020";"26558";"787";"485";"33,75";"GM0865"
"Waadhoeke";"2020";"46090";"162";"518";"284,86";"GM1949"
"Waalre";"2020";"17456";"780";"544";"22,39";"GM0866"
"Waalwijk";"2020";"48637";"753";"544";"64,58";"GM0867"
"Waddinxveen";"2020";"29291";"1055";"502";"27,77";"GM0627"
"Wageningen";"2020";"39664";"1304";"340";"30,42";"GM0289"
"Warmond";"2020";"";"";"";"";""
"Warnsveld";"2020";"";"";"";"";""
"Waspik";"2020";"";"";"";"";""
"Wassenaar";"2020";"26305";"515";"509";"51,11";"GM0629"
"Wateringen";"2020";"";"";"";"";""
"Waterland";"2020";"17424";"334";"464";"52,11";"GM0852"
"Weerselo";"2020";"";"";"";"";""
"Weert";"2020";"50105";"480";"500";"104,32";"GM0988"
"Weesp";"2020";"19738";"866";"416";"22,79";"GM0457"
"Wehl";"2020";"";"";"";"";""
"Werkendam";"2020";"";"";"";"";""
"Wervershoof";"2020";"";"";"";"";""
"West Betuwe";"2020";"51128";"237";"556";"216,12";"GM1960"
"West Maas en Waal";"2020";"19324";"252";"581";"76,76";"GM0668"
"Westerbork";"2020";"";"";"";"";""
"Westerhoven";"2020";"";"";"";"";""
"Wester-Koggenland";"2020";"";"";"";"";""
"Westerkwartier";"2020";"63329";"175";"536";"362,69";"GM1969"
"Westerschouwen";"2020";"";"";"";"";""
"Westerveld";"2020";"19460";"70";"585";"278,35";"GM1701"
"Westervoort";"2020";"14971";"2130";"493";"7,03";"GM0293"
"Westerwolde";"2020";"25733";"93";"564";"275,67";"GM1950"
"Westkapelle";"2020";"";"";"";"";""
"Westland";"2020";"110375";"1358";"504";"81,27";"GM1783"
"Weststellingwerf";"2020";"25914";"118";"535";"220,30";"GM0098"
"Westvoorne";"2020";"14731";"277";"599";"53,18";"GM0614"
"Wierden";"2020";"24446";"258";"793";"94,63";"GM0189"
"Wieringen";"2020";"";"";"";"";""
"Wieringermeer";"2020";"";"";"";"";""
"Wijchen";"2020";"41110";"621";"525";"66,18";"GM0296"
"Wijdemeren";"2020";"24358";"512";"581";"47,60";"GM1696"
"Wijhe";"2020";"";"";"";"";""
"De Wijk";"2020";"";"";"";"";""
"Wijk bij Duurstede";"2020";"23914";"502";"515";"47,62";"GM0352"
"Willemstad";"2020";"";"";"";"";""
"Winschoten";"2020";"";"";"";"";""
"Winsum";"2020";"";"";"";"";""
"Winterswijk";"2020";"28854";"209";"497";"138,14";"GM0294"
"Wisch";"2020";"";"";"";"";""
"Wittem";"2020";"";"";"";"";""
"Woensdrecht";"2020";"21876";"239";"562";"91,66";"GM0873"
"Woerden";"2020";"52299";"590";"471";"88,57";"GM0632"
"Wognum";"2020";"";"";"";"";""
"De Wolden";"2020";"24330";"108";"586";"224,55";"GM1690"
"Wormerland";"2020";"16270";"422";"484";"38,59";"GM0880"
"Woudenberg";"2020";"13362";"366";"499";"36,53";"GM0351"
"Woudrichem";"2020";"";"";"";"";""
"Wouw";"2020";"";"";"";"";""
"Wûnseradiel";"2020";"";"";"";"";""
"Wymbritseradiel";"2020";"";"";"";"";""
"Zaanstad";"2020";"156794";"2123";"419";"73,87";"GM0479"
"Zaltbommel";"2020";"28881";"364";"514";"79,38";"GM0297"
"Zandvoort";"2020";"17116";"533";"456";"32,12";"GM0473"
"Zederik";"2020";"";"";"";"";""
"Zeevang";"2020";"";"";"";"";""
"Zeewolde";"2020";"22653";"92";"738";"247,23";"GM0050"
"Zeist";"2020";"64905";"1338";"561";"48,51";"GM0355"
"Zelhem";"2020";"";"";"";"";""
"Zevenaar";"2020";"43750";"472";"536";"92,60";"GM0299"
"Zevenbergen";"2020";"";"";"";"";""
"Zevenhuizen-Moerkapelle";"2020";"";"";"";"";""
"Zierikzee";"2020";"";"";"";"";""
"Zijpe";"2020";"";"";"";"";""
"Zoetermeer";"2020";"125285";"3637";"457";"34,45";"GM0637"
"Zoeterwoude";"2020";"8605";"406";"474";"21,19";"GM0638"
"Zuidhorn";"2020";"";"";"";"";""
"Zuidlaren";"2020";"";"";"";"";""
"Zuidplas";"2020";"43885";"756";"502";"58,02";"GM1892"
"Zuidwolde";"2020";"";"";"";"";""
"Zundert";"2020";"21829";"181";"569";"120,65";"GM0879"
"Zutphen";"2020";"47934";"1170";"446";"40,95";"GM0301"
"Zwartewaterland";"2020";"22685";"275";"493";"82,49";"GM1896"
"Zwartsluis";"2020";"";"";"";"";""
"Zweeloo";"2020";"";"";"";"";""
"Zwijndrecht";"2020";"44737";"2204";"480";"20,30";"GM0642"
"Zwolle";"2020";"128840";"1160";"430";"111,10";"GM0193"
"Bron: CBS"
